molecule_chembl_id,canonical_smiles,STATUS,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4092208,Cc1ccccc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,active,430.48100000000017,6.036420000000005,2.0,5.0,7.777283528852417
CHEMBL4098867,Cc1cc(F)ccc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,active,448.4710000000002,6.175520000000005,2.0,5.0,8.05551732784983
CHEMBL4070169,Cc1ccc(C(=O)c2sc3cc(O)ccc3c2Oc2ccc(/C=C/C(=O)O)cc2)c(C)c1,active,444.5080000000002,6.344840000000006,2.0,5.0,8.346787486224656
CHEMBL4094499,Cc1cccc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,active,444.5080000000002,6.344840000000006,2.0,5.0,8.3767507096021
CHEMBL4059888,Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,active,462.4980000000002,6.483940000000006,2.0,5.0,8.508638306165727
CHEMBL4081807,Cc1cc(Cl)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,active,478.9530000000002,6.998240000000006,2.0,5.0,8.619788758288394
CHEMBL4081295,CC(C)c1ccccc1N1CCc2cc(O)ccc2C1(C)c1ccc(/C=C/C(=O)O)cc1,inactive,427.5440000000001,5.939600000000007,2.0,3.0,5.0
CHEMBL4100053,CC1(c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,active,403.45300000000015,4.955300000000003,2.0,3.0,6.296708621881338
CHEMBL4104400,CC1(c2ccc(/C=C/c3nnc(CO)o3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,active,457.50500000000017,4.9032000000000036,2.0,6.0,7.366531544420414
CHEMBL4086181,CCCc1nnc(/C=C/c2ccc(C3(C)c4ccc(O)cc4CCN3c3ccc(F)cc3)cc2)o1,active,469.5600000000002,6.363400000000007,1.0,5.0,7.251811972993799
CHEMBL4064677,Cc1nnc(/C=C/c2ccc(C3(C)c4ccc(O)cc4CCN3c3ccc(F)cc3)cc2)o1,active,441.5060000000002,5.719320000000005,1.0,5.0,6.94692155651658
CHEMBL4077512,Cn1nnnc1/C=C/c1ccc(C2(C)c3ccc(O)cc3CCN2c2ccc(F)cc2)cc1,intermediate,441.51000000000016,4.551400000000004,1.0,6.0,5.851089006890644
CHEMBL4073264,Cn1nnc(/C=C/c2ccc(C3(C)c4ccc(O)cc4CCN3c3ccc(F)cc3)cc2)n1,active,441.51000000000016,4.551400000000004,1.0,6.0,6.94692155651658
CHEMBL4099931,CC1(c2ccc(/C=C/c3nn[nH]n3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,intermediate,427.4830000000002,4.541000000000003,2.0,5.0,5.987162775294828
CHEMBL4070586,Cn1cncc1/C=C/c1ccc(C2(C)c3ccc(O)cc3CCN2c2ccc(F)cc2)cc1,active,439.53400000000016,5.761400000000005,1.0,4.0,7.2441251443275085
